Jurisdiction,Year,Measure,Unit,Quantity
AUS,2022-23,Energy intensity,GJ/$ million,2447.234
AUS,2022-23,Energy productivity,$ million/PJ,408.625
AUS,2022-23,GDP,$ million,2403614
AUS,2022-23,Population,Number,26658948
NSW,2004-05,Energy consumption,PJ,1544.916
NSW,2004-05,Energy consumption per capita,GJ/person,219.929
NSW,2004-05,Energy intensity,GJ/$ million,2934.843
NSW,2004-05,Energy productivity,$ million/PJ,340.734
NSW,2004-05,GDP,$ million,526405
NSW,2004-05,Population,Number,7024605
NSW,2005-06,Energy consumption,PJ,1545.985
NSW,2005-06,Energy consumption per capita,GJ/person,218.425
NSW,2005-06,Energy intensity,GJ/$ million,2899.528
NSW,2005-06,Energy productivity,$ million/PJ,344.884
NSW,2005-06,GDP,$ million,533185
NSW,2005-06,Population,Number,7077860
NSW,2006-07,Energy consumption,PJ,1568.894
NSW,2006-07,Energy consumption per capita,GJ/person,218.606
NSW,2006-07,Energy intensity,GJ/$ million,2885.795
NSW,2006-07,Energy productivity,$ million/PJ,346.525
NSW,2006-07,GDP,$ million,543661
NSW,2006-07,Population,Number,7176800
NSW,2007-08,Energy consumption,PJ,1610.708
NSW,2007-08,Energy consumption per capita,GJ/person,220.892
NSW,2007-08,Energy intensity,GJ/$ million,2898.87
NSW,2007-08,Energy productivity,$ million/PJ,344.962
NSW,2007-08,GDP,$ million,555633
NSW,2007-08,Population,Number,7291829
NSW,2008-09,Energy consumption,PJ,1593.538
NSW,2008-09,Energy consumption per capita,GJ/person,215.095
NSW,2008-09,Energy intensity,GJ/$ million,2825.337
NSW,2008-09,Energy productivity,$ million/PJ,353.94
NSW,2008-09,GDP,$ million,564017
NSW,2008-09,Population,Number,7408540
NSW,2009-10,Energy consumption,PJ,1645.288
NSW,2009-10,Energy consumption per capita,GJ/person,219.195
NSW,2009-10,Energy intensity,GJ/$ million,2867.2
NSW,2009-10,Energy productivity,$ million/PJ,348.772
NSW,2009-10,GDP,$ million,573831
NSW,2009-10,Population,Number,7506058
NSW,2010-11,Energy consumption,PJ,1668.025
NSW,2010-11,Energy consumption per capita,GJ/person,219.867
NSW,2010-11,Energy intensity,GJ/$ million,2848.296
NSW,2010-11,Energy productivity,$ million/PJ,351.087
NSW,2010-11,GDP,$ million,585622
NSW,2010-11,Population,Number,7586514
NSW,2011-12,Energy consumption,PJ,1621.305
NSW,2011-12,Energy consumption per capita,GJ/person,211.086
NSW,2011-12,Energy intensity,GJ/$ million,2700.266
NSW,2011-12,Energy productivity,$ million/PJ,370.334
NSW,2011-12,GDP,$ million,600424
NSW,2011-12,Population,Number,7680783
NSW,2012-13,Energy consumption,PJ,1568.427
NSW,2012-13,Energy consumption per capita,GJ/person,201.409
NSW,2012-13,Energy intensity,GJ/$ million,2554.254
NSW,2012-13,Energy productivity,$ million/PJ,391.504
NSW,2012-13,GDP,$ million,614045
NSW,2012-13,Population,Number,7787289
NSW,2013-14,Energy consumption,PJ,1526.538
NSW,2013-14,Energy consumption per capita,GJ/person,193.302
