Jurisdiction,Year,Measure,Unit,Quantity
SA,2022-23,Energy consumption,PJ,300.001
SA,2022-23,Energy consumption per capita,GJ/person,161.894
SA,2022-23,Energy intensity,GJ/$ million,2235.326
SA,2022-23,Energy productivity,$ million/PJ,447.362
SA,2022-23,GDP,$ million,134209
SA,2022-23,Population,Number,1853064
TAS,2004-05,Energy consumption,PJ,107.395
TAS,2004-05,Energy consumption per capita,GJ/person,220.885
TAS,2004-05,Energy intensity,GJ/$ million,4196.255
TAS,2004-05,Energy productivity,$ million/PJ,238.308
TAS,2004-05,GDP,$ million,25593
TAS,2004-05,Population,Number,486202
TAS,2005-06,Energy consumption,PJ,111.574
TAS,2005-06,Energy consumption per capita,GJ/person,228.026
TAS,2005-06,Energy intensity,GJ/$ million,4192.294
TAS,2005-06,Energy productivity,$ million/PJ,238.533
TAS,2005-06,GDP,$ million,26614
TAS,2005-06,Population,Number,489302
TAS,2006-07,Energy consumption,PJ,113.322
TAS,2006-07,Energy consumption per capita,GJ/person,229.741
TAS,2006-07,Energy intensity,GJ/$ million,4147.353
TAS,2006-07,Energy productivity,$ million/PJ,241.118
TAS,2006-07,GDP,$ million,27324
TAS,2006-07,Population,Number,493262
TAS,2007-08,Energy consumption,PJ,115.507
TAS,2007-08,Energy consumption per capita,GJ/person,231.678
TAS,2007-08,Energy intensity,GJ/$ million,4055.735
TAS,2007-08,Energy productivity,$ million/PJ,246.564
TAS,2007-08,GDP,$ million,28480
TAS,2007-08,Population,Number,498568
TAS,2008-09,Energy consumption,PJ,113.795
TAS,2008-09,Energy consumption per capita,GJ/person,225.625
TAS,2008-09,Energy intensity,GJ/$ million,3885.763
TAS,2008-09,Energy productivity,$ million/PJ,257.35
TAS,2008-09,GDP,$ million,29285
TAS,2008-09,Population,Number,504353
TAS,2009-10,Energy consumption,PJ,113.744
TAS,2009-10,Energy consumption per capita,GJ/person,223.533
TAS,2009-10,Energy intensity,GJ/$ million,3850.118
TAS,2009-10,Energy productivity,$ million/PJ,259.732
TAS,2009-10,GDP,$ million,29543
TAS,2009-10,Population,Number,508847
TAS,2010-11,Energy consumption,PJ,113.825
TAS,2010-11,Energy consumption per capita,GJ/person,222.54
TAS,2010-11,Energy intensity,GJ/$ million,3762.818
TAS,2010-11,Energy productivity,$ million/PJ,265.758
TAS,2010-11,GDP,$ million,30250
TAS,2010-11,Population,Number,511483
TAS,2011-12,Energy consumption,PJ,106.97
TAS,2011-12,Energy consumption per capita,GJ/person,209.039
TAS,2011-12,Energy intensity,GJ/$ million,3467.548
TAS,2011-12,Energy productivity,$ million/PJ,288.388
TAS,2011-12,GDP,$ million,30849
TAS,2011-12,Population,Number,511724
TAS,2012-13,Energy consumption,PJ,112.322
TAS,2012-13,Energy consumption per capita,GJ/person,219.28
TAS,2012-13,Energy intensity,GJ/$ million,3660.489
TAS,2012-13,Energy productivity,$ million/PJ,273.188
TAS,2012-13,GDP,$ million,30685
TAS,2012-13,Population,Number,512231
TAS,2013-14,Energy consumption,PJ,108.002
TAS,2013-14,Energy consumption per capita,GJ/person,210.276
TAS,2013-14,Energy intensity,GJ/$ million,3466.608
TAS,2013-14,Energy productivity,$ million/PJ,288.466
TAS,2013-14,GDP,$ million,31155
TAS,2013-14,Population,Number,513621
TAS,2014-15,Energy consumption,PJ,104.927
TAS,2014-15,Energy consumption per capita,GJ/person,203.696
TAS,2014-15,Energy intensity,GJ/$ million,3329.445
TAS,2014-15,Energy productivity,$ million/PJ,300.35
TAS,2014-15,GDP,$ million,31515
TAS,2014-15,Population,Number,515117
TAS,2015-16,Energy consumption,PJ,107.059
TAS,2015-16,Energy consumption per capita,GJ/person,206.872
TAS,2015-16,Energy intensity,GJ/$ million,3336.742
TAS,2015-16,Energy productivity,$ million/PJ,299.694
TAS,2015-16,GDP,$ million,32085
TAS,2015-16,Population,Number,517514
TAS,2016-17,Energy consumption,PJ,107.463
TAS,2016-17,Energy consumption per capita,GJ/person,204.007
TAS,2016-17,Energy intensity,GJ/$ million,3309.301
TAS,2016-17,Energy productivity,$ million/PJ,302.179
TAS,2016-17,GDP,$ million,32473
TAS,2016-17,Population,Number,526762
TAS,2017-18,Energy consumption,PJ,110.54
TAS,2017-18,Energy consumption per capita,GJ/person,205.736
TAS,2017-18,Energy intensity,GJ/$ million,3283.345
TAS,2017-18,Energy productivity,$ million/PJ,304.567
TAS,2017-18,GDP,$ million,33667
TAS,2017-18,Population,Number,537291
TAS,2018-19,Energy consumption,PJ,108.161
TAS,2018-19,Energy consumption per capita,GJ/person,197.432
TAS,2018-19,Energy intensity,GJ/$ million,3099.448
TAS,2018-19,Energy productivity,$ million/PJ,322.638
TAS,2018-19,GDP,$ million,34897
TAS,2018-19,Population,Number,547841
TAS,2019-20,Energy consumption,PJ,100.079
TAS,2019-20,Energy consumption per capita,GJ/person,179.488
TAS,2019-20,Energy intensity,GJ/$ million,2865.034
TAS,2019-20,Energy productivity,$ million/PJ,349.036
TAS,2019-20,GDP,$ million,34931
TAS,2019-20,Population,Number,557578
TAS,2020-21,Energy consumption,PJ,103.108
TAS,2020-21,Energy consumption per capita,GJ/person,181.772
TAS,2020-21,Energy intensity,GJ/$ million,2817.322
TAS,2020-21,Energy productivity,$ million/PJ,354.947
TAS,2020-21,GDP,$ million,36598
TAS,2020-21,Population,Number,567239
TAS,2021-22,Energy consumption,PJ,105.375
TAS,2021-22,Energy consumption per capita,GJ/person,184.527
TAS,2021-22,Energy intensity,GJ/$ million,2760.593
TAS,2021-22,Energy productivity,$ million/PJ,362.241
TAS,2021-22,GDP,$ million,38171
TAS,2021-22,Population,Number,571051
TAS,2022-23,Energy consumption,PJ,105.451
TAS,2022-23,Energy consumption per capita,GJ/person,183.879
TAS,2022-23,Energy intensity,GJ/$ million,2733.019
TAS,2022-23,Energy productivity,$ million/PJ,365.896
TAS,2022-23,GDP,$ million,38584
TAS,2022-23,Population,Number,573479
VIC,2004-05,Energy consumption,PJ,1356.513
VIC,2004-05,Energy consumption per capita,GJ/person,271.887
VIC,2004-05,Energy intensity,GJ/$ million,3948.918
VIC,2004-05,Energy productivity,$ million/PJ,253.234
VIC,2004-05,GDP,$ million,343515
VIC,2004-05,Population,Number,4989246
VIC,2005-06,Energy consumption,PJ,1429.476
VIC,2005-06,Energy consumption per capita,GJ/person,282.434
VIC,2005-06,Energy intensity,GJ/$ million,4068.037
VIC,2005-06,Energy productivity,$ million/PJ,245.819
VIC,2005-06,GDP,$ million,351392
VIC,2005-06,Population,Number,5061266
VIC,2006-07,Energy consumption,PJ,1433.859
VIC,2006-07,Energy consumption per capita,GJ/person,278.229
VIC,2006-07,Energy intensity,GJ/$ million,3968.742
VIC,2006-07,Energy productivity,$ million/PJ,251.969
VIC,2006-07,GDP,$ million,361288
VIC,2006-07,Population,Number,5153522
VIC,2007-08,Energy consumption,PJ,1426.079
VIC,2007-08,Energy consumption per capita,GJ/person,271.305
VIC,2007-08,Energy intensity,GJ/$ million,3811.078
VIC,2007-08,Energy productivity,$ million/PJ,262.393
VIC,2007-08,GDP,$ million,374193
VIC,2007-08,Population,Number,5256375
VIC,2008-09,Energy consumption,PJ,1421.679
VIC,2008-09,Energy consumption per capita,GJ/person,264.649
VIC,2008-09,Energy intensity,GJ/$ million,3727.528
VIC,2008-09,Energy productivity,$ million/PJ,268.274
VIC,2008-09,GDP,$ million,381400
VIC,2008-09,Population,Number,5371934
VIC,2009-10,Energy consumption,PJ,1426.739
VIC,2009-10,Energy consumption per capita,GJ/person,261.255
VIC,2009-10,Energy intensity,GJ/$ million,3702.583
VIC,2009-10,Energy productivity,$ million/PJ,270.082
VIC,2009-10,GDP,$ million,385336
VIC,2009-10,Population,Number,5461101
VIC,2010-11,Energy consumption,PJ,1448.557
VIC,2010-11,Energy consumption per capita,GJ/person,261.575
VIC,2010-11,Energy intensity,GJ/$ million,3655.637
VIC,2010-11,Energy productivity,$ million/PJ,273.55
VIC,2010-11,GDP,$ million,396253
VIC,2010-11,Population,Number,5537817
VIC,2011-12,Energy consumption,PJ,1457.312
VIC,2011-12,Energy consumption per capita,GJ/person,257.882
VIC,2011-12,Energy intensity,GJ/$ million,3591.013
VIC,2011-12,Energy productivity,$ million/PJ,278.473
VIC,2011-12,GDP,$ million,405822
VIC,2011-12,Population,Number,5651091
VIC,2012-13,Energy consumption,PJ,1425.302
VIC,2012-13,Energy consumption per capita,GJ/person,246.905
VIC,2012-13,Energy intensity,GJ/$ million,3478.026
VIC,2012-13,Energy productivity,$ million/PJ,287.519
VIC,2012-13,GDP,$ million,409802
VIC,2012-13,Population,Number,5772669
VIC,2013-14,Energy consumption,PJ,1394.779
VIC,2013-14,Energy consumption per capita,GJ/person,236.607
VIC,2013-14,Energy intensity,GJ/$ million,3329.606
VIC,2013-14,Energy productivity,$ million/PJ,300.336
VIC,2013-14,GDP,$ million,418902
VIC,2013-14,Population,Number,5894917
VIC,2014-15,Energy consumption,PJ,1392.271
VIC,2014-15,Energy consumption per capita,GJ/person,231.185
VIC,2014-15,Energy intensity,GJ/$ million,3232.149
VIC,2014-15,Energy productivity,$ million/PJ,309.392
VIC,2014-15,GDP,$ million,430757
VIC,2014-15,Population,Number,6022322
VIC,2015-16,Energy consumption,PJ,1414.792
VIC,2015-16,Energy consumption per capita,GJ/person,229.184
VIC,2015-16,Energy intensity,GJ/$ million,3174.215
VIC,2015-16,Energy productivity,$ million/PJ,315.038
VIC,2015-16,GDP,$ million,445714
VIC,2015-16,Population,Number,6173172
VIC,2016-17,Energy consumption,PJ,1384.789
VIC,2016-17,Energy consumption per capita,GJ/person,219.717
VIC,2016-17,Energy intensity,GJ/$ million,2992.606
VIC,2016-17,Energy productivity,$ million/PJ,334.157
VIC,2016-17,GDP,$ million,462737
VIC,2016-17,Population,Number,6302608
VIC,2017-18,Energy consumption,PJ,1309.98
VIC,2017-18,Energy consumption per capita,GJ/person,203.95
VIC,2017-18,Energy intensity,GJ/$ million,2737.16
VIC,2017-18,Energy productivity,$ million/PJ,365.342
VIC,2017-18,GDP,$ million,478591
VIC,2017-18,Population,Number,6423038
VIC,2018-19,Energy consumption,PJ,1276.267
VIC,2018-19,Energy consumption per capita,GJ/person,195.228
VIC,2018-19,Energy intensity,GJ/$ million,2588.32
VIC,2018-19,Energy productivity,$ million/PJ,386.351
VIC,2018-19,GDP,$ million,493087
VIC,2018-19,Population,Number,6537305
VIC,2019-20,Energy consumption,PJ,1207.708
VIC,2019-20,Energy consumption per capita,GJ/person,182.57
VIC,2019-20,Energy intensity,GJ/$ million,2456.434
VIC,2019-20,Energy productivity,$ million/PJ,407.094
VIC,2019-20,GDP,$ million,491651
VIC,2019-20,Population,Number,6615046
VIC,2020-21,Energy consumption,PJ,1128.83
VIC,2020-21,Energy consumption per capita,GJ/person,172.398
VIC,2020-21,Energy intensity,GJ/$ million,2300.604
VIC,2020-21,Energy productivity,$ million/PJ,434.668
VIC,2020-21,GDP,$ million,490667
VIC,2020-21,Population,Number,6547822
VIC,2021-22,Energy consumption,PJ,1148.131
VIC,2021-22,Energy consumption per capita,GJ/person,173.156
VIC,2021-22,Energy intensity,GJ/$ million,2200.712
VIC,2021-22,Energy productivity,$ million/PJ,454.398
VIC,2021-22,GDP,$ million,521709
VIC,2021-22,Population,Number,6630631
VIC,2022-23,Energy consumption,PJ,1172.601
VIC,2022-23,Energy consumption per capita,GJ/person,171.975
VIC,2022-23,Energy intensity,GJ/$ million,2189.777
VIC,2022-23,Energy productivity,$ million/PJ,456.668
VIC,2022-23,GDP,$ million,535489
VIC,2022-23,Population,Number,6818442
WA,2004-05,Energy consumption,PJ,748.204
WA,2004-05,Energy consumption per capita,GJ/person,372.017
WA,2004-05,Energy intensity,GJ/$ million,3430.223
WA,2004-05,Energy productivity,$ million/PJ,291.526
WA,2004-05,GDP,$ million,218121
WA,2004-05,Population,Number,2011207
WA,2005-06,Energy consumption,PJ,757.067
WA,2005-06,Energy consumption per capita,GJ/person,369.196
WA,2005-06,Energy intensity,GJ/$ million,3307.89
WA,2005-06,Energy productivity,$ million/PJ,302.308
WA,2005-06,GDP,$ million,228867
WA,2005-06,Population,Number,2050581
WA,2006-07,Energy consumption,PJ,820.67
WA,2006-07,Energy consumption per capita,GJ/person,389.656
WA,2006-07,Energy intensity,GJ/$ million,3361.185
WA,2006-07,Energy productivity,$ million/PJ,297.514
WA,2006-07,GDP,$ million,244161
WA,2006-07,Population,Number,2106139
WA,2007-08,Energy consumption,PJ,827.963
WA,2007-08,Energy consumption per capita,GJ/person,381.251
WA,2007-08,Energy intensity,GJ/$ million,3224.443
WA,2007-08,Energy productivity,$ million/PJ,310.131
WA,2007-08,GDP,$ million,256777
WA,2007-08,Population,Number,2171700
WA,2008-09,Energy consumption,PJ,917.222
WA,2008-09,Energy consumption per capita,GJ/person,409.428
WA,2008-09,Energy intensity,GJ/$ million,3489.367
WA,2008-09,Energy productivity,$ million/PJ,286.585
WA,2008-09,GDP,$ million,262862
WA,2008-09,Population,Number,2240250
WA,2009-10,Energy consumption,PJ,905.748
WA,2009-10,Energy consumption per capita,GJ/person,395.377
WA,2009-10,Energy intensity,GJ/$ million,3250.987
WA,2009-10,Energy productivity,$ million/PJ,307.599
WA,2009-10,GDP,$ million,278607
WA,2009-10,Population,Number,2290845
WA,2010-11,Energy consumption,PJ,980.289
WA,2010-11,Energy consumption per capita,GJ/person,416.54
WA,2010-11,Energy intensity,GJ/$ million,3362.196
WA,2010-11,Energy productivity,$ million/PJ,297.425
WA,2010-11,GDP,$ million,291562
WA,2010-11,Population,Number,2353409
WA,2011-12,Energy consumption,PJ,982.163
WA,2011-12,Energy consumption per capita,GJ/person,404.931
WA,2011-12,Energy intensity,GJ/$ million,3110.927
WA,2011-12,Energy productivity,$ million/PJ,321.448
WA,2011-12,GDP,$ million,315714
WA,2011-12,Population,Number,2425507
WA,2012-13,Energy consumption,PJ,1019.454
WA,2012-13,Energy consumption per capita,GJ/person,409.922
WA,2012-13,Energy intensity,GJ/$ million,3045.109
WA,2012-13,Energy productivity,$ million/PJ,328.395
WA,2012-13,GDP,$ million,334784
WA,2012-13,Population,Number,2486944
WA,2013-14,Energy consumption,PJ,1066.564
WA,2013-14,Energy consumption per capita,GJ/person,423.642
WA,2013-14,Energy intensity,GJ/$ million,3012.296
WA,2013-14,Energy productivity,$ million/PJ,331.973
WA,2013-14,GDP,$ million,354070
WA,2013-14,Population,Number,2517608
WA,2014-15,Energy consumption,PJ,1045.337
WA,2014-15,Energy consumption per capita,GJ/person,411.441
WA,2014-15,Energy intensity,GJ/$ million,2886.803
WA,2014-15,Energy productivity,$ million/PJ,346.404
WA,2014-15,GDP,$ million,362109
WA,2014-15,Population,Number,2540672
WA,2015-16,Energy consumption,PJ,1123.903
WA,2015-16,Energy consumption per capita,GJ/person,439.715
WA,2015-16,Energy intensity,GJ/$ million,3071.771
WA,2015-16,Energy productivity,$ million/PJ,325.545
WA,2015-16,GDP,$ million,365881
WA,2015-16,Population,Number,2555978
WA,2016-17,Energy consumption,PJ,1176.761
WA,2016-17,Energy consumption per capita,GJ/person,455.1
WA,2016-17,Energy intensity,GJ/$ million,3248.926
WA,2016-17,Energy productivity,$ million/PJ,307.794
WA,2016-17,GDP,$ million,362200
WA,2016-17,Population,Number,2585720
WA,2017-18,Energy consumption,PJ,1209.656
WA,2017-18,Energy consumption per capita,GJ/person,462.09
WA,2017-18,Energy intensity,GJ/$ million,3267.99
WA,2017-18,Energy productivity,$ million/PJ,305.998
WA,2017-18,GDP,$ million,370153
WA,2017-18,Population,Number,2617792
WA,2018-19,Energy consumption,PJ,1261.191
WA,2018-19,Energy consumption per capita,GJ/person,474.199
WA,2018-19,Energy intensity,GJ/$ million,3351.565
WA,2018-19,Energy productivity,$ million/PJ,298.368
WA,2018-19,GDP,$ million,376299
WA,2018-19,Population,Number,2659625
WA,2019-20,Energy consumption,PJ,1264.935
WA,2019-20,Energy consumption per capita,GJ/person,466.265
WA,2019-20,Energy intensity,GJ/$ million,3322.506
WA,2019-20,Energy productivity,$ million/PJ,300.978
WA,2019-20,GDP,$ million,380717
WA,2019-20,Population,Number,2712912
WA,2020-21,Energy consumption,PJ,1238.945
WA,2020-21,Energy consumption per capita,GJ/person,450.629
WA,2020-21,Energy intensity,GJ/$ million,3150.743
WA,2020-21,Energy productivity,$ million/PJ,317.385
WA,2020-21,GDP,$ million,393223
WA,2020-21,Population,Number,2749365
WA,2021-22,Energy consumption,PJ,1257.883
WA,2021-22,Energy consumption per capita,GJ/person,450.564
WA,2021-22,Energy intensity,GJ/$ million,3107.709
WA,2021-22,Energy productivity,$ million/PJ,321.78
WA,2021-22,GDP,$ million,404762
WA,2021-22,Population,Number,2791794
WA,2022-23,Energy consumption,PJ,1293.628
WA,2022-23,Energy consumption per capita,GJ/person,448.671
WA,2022-23,Energy intensity,GJ/$ million,3089.076
WA,2022-23,Energy productivity,$ million/PJ,323.721
WA,2022-23,GDP,$ million,418775
WA,2022-23,Population,Number,2883245
